name,time_ns,compiler,cluster,source_file,kernel
s113_run_timed,197633585,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
s113_run_timed,197797497,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
s113_run_timed,198229169,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
s113_run_timed,197932938,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
s113_run_timed,198191889,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
s113_run_timed,197975257,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s113
base_s113,193637000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
base_s113,192505000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
base_s113,192734000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
base_s113,192738000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
base_s113,192755000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
base_s113,192745000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
base_s113,192528000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
base_s113,192667000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
base_s113,192658000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
base_s113,192576000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113
s1113_run_timed,99130730,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,99006919,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,98776207,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,98555386,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,98859508,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,98637777,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,98738047,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,99494852,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,98751677,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,98482775,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
s1113_run_timed,98572136,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s1113
base_s1113,96172000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
base_s1113,96224000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
base_s1113,95964000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
base_s1113,96339000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
base_s1113,96845000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
base_s1113,96561000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
base_s1113,96042000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
base_s1113,96087000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
base_s1113,96056000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
base_s1113,96643000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113
s114_run_timed,2865068,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2869709,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2473136,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2821028,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2823188,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2875048,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2830728,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2828808,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2831228,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2855328,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
s114_run_timed,2824217,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s114
dace_s114_cpy,2244000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2240000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2255000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2218000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2217000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2210000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2215000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2213000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2219000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2231000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
dace_s114_cpy,2215000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114
s115_run_timed,469783,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
s115_run_timed,443393,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
s115_run_timed,203352,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
s115_run_timed,198322,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
s115_run_timed,205551,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
s115_run_timed,199941,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
s115_run_timed,203081,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
s115_run_timed,199421,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
s115_run_timed,198491,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s115
