,compiler,cluster,source_file_cpp,name_cpp,median_ns_cpp,mean_ns_cpp,variance_ns_cpp,impl_cpp,kernel,median_cpp_ns_cpp,source_file_dace,name_dace,median_ns_dace,mean_ns_dace,variance_ns_dace,impl_dace,median_cpp_ns_dace
75,graceclang,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s3111,23237874.0,23922521.818181816,3371569351941.1616,cpp,s3111,23237874.0,runtimes_v8f_intrinsic_neon.csv,dace_s3111,23450500.0,23658800.0,222119066666.667,dace,23237874.0
76,graceclang,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s331,23337570.0,24223854.818181816,6631197192774.362,cpp,s331,23337570.0,runtimes_v8f_.csv,dace_s331,23810000.0,24416909.09090909,2685679290909.0923,dace,23345131.0
77,llvm,arm,runtimes_v8f_.csv,cpp_s331,23588329.0,24217259.636363637,2475569584219.0547,cpp,s331,23588329.0,runtimes_v8f_.csv,dace_s331,24245500.0,24399500.0,102030944444.4447,dace,23588329.0
78,gcc,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s331,23683757.0,23824781.727272727,215016255858.21844,cpp,s331,23683757.0,runtimes_v8f_intrinsic_sve.csv,dace_s331,27326500.0,27474600.0,71517155555.5556,dace,23834594.0
79,llvm,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s3111,24041088.0,24159854.727272727,53456433118.01764,cpp,s3111,24041088.0,runtimes_v8f_.csv,dace_s3111,24009000.0,24077500.0,99466055555.55563,dace,24144066.0
80,gcc,arm,runtimes_v8f_intrinsic_sve.csv,cpp_s31111,24151026.0,24323979.0,138977029678.40012,cpp,s31111,24151026.0,runtimes_v8f_intrinsic_neon.csv,dace_s31111,22335000.0,23121454.545454547,4951085672727.273,dace,24262472.0
81,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s3111,24971599.0,24979608.09090909,3984691767.490897,cpp,s3111,24971599.0,runtimes_v7f_default.csv,dace_s3111,25057000.0,25231800.0,88967511111.11118,dace,24971599.0
82,graceclang,arm,runtimes_v8f_intrinsic_neon.csv,cpp_s31111,25266750.0,25400658.363636363,164735085963.25473,cpp,s31111,25266750.0,runtimes_v8f_intrinsic_neon.csv,dace_s31111,24320000.0,25270909.09090909,7785598090909.091,dace,25266750.0
83,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s31111,25271683.0,25284265.727272727,2797603890.0181704,cpp,s31111,25271683.0,runtimes_v7f_default.csv,dace_s31111,27136000.0,27188181.818181816,30231163636.36364,dace,25271683.0
84,llvm,arm,runtimes_v8f_.csv,cpp_s31111,25369876.0,25468464.818181816,38838675940.96346,cpp,s31111,25369876.0,runtimes_v8f_intrinsic_neon.csv,dace_s31111,25049000.0,25105363.636363637,32300254545.45457,dace,25376529.0
85,llvm,amd_epyc,runtimes_v7f_default.csv,cpp_s31111,26540720.0,26559979.363636363,7859452690.254519,cpp,s31111,26540720.0,runtimes_v7f_default.csv,dace_s31111,26287000.0,26400900.0,65955433333.33301,dace,26540720.0
86,gcc,amd_epyc,runtimes_v7f_force_width_256.csv,cpp_s3111,27021392.0,27058383.363636363,11745910783.054537,cpp,s3111,27021392.0,runtimes_v7f_force_width_256.csv,dace_s3111,83325500.0,83262400.0,40086711111.11118,dace,27021392.0
87,intel,amd_epyc,runtimes_v7f_default.csv,cpp_s3111,27235222.0,27278301.818181816,26649318492.363686,cpp,s3111,27235222.0,runtimes_v7f_default.csv,dace_s3111,27244500.0,27319700.0,30545122222.22223,dace,27235222.0
