,compiler,cluster,source_file,name,median_ns,mean_ns,variance_ns,impl,kernel
83,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s353,481377602.0,481841354.0,1879406912491.5996,cpp,s353
84,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s4112,484039384.0,483170229.90909094,15892349781096.887,cpp,s4112
85,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s4113,957805399.0,959270441.2727273,53308022814889.766,cpp,s4113
86,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s4114,526532915.0,526398584.6363636,213282961135.4551,cpp,s4114
87,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s4115,467623362.0,467601119.6363636,96849440570.66046,cpp,s4115
88,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s4116,94521.0,96055.36363636363,12579927.254545461,cpp,s4116
89,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s4117,66275787.0,66308883.0,25355219948.599964,cpp,s4117
90,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s4121,60624578.0,60708024.63636363,56663489340.054955,cpp,s4121
91,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s424,254889636.0,254951225.8181818,64720039627.36357,cpp,s424
92,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s431,432852744.0,433108665.27272725,280930111638.6151,cpp,s431
93,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s441,91490767.0,91498270.0909091,2260898051.8909826,cpp,s441
94,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s442,88733808.0,88769452.54545455,70785085477.6733,cpp,s442
95,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s443,157355462.0,157460470.72727272,113718216568.01758,cpp,s443
96,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s451,194996257.0,194912805.1818182,378104825075.76404,cpp,s451
97,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s452,262018183.0,262192314.9090909,1089731887713.4863,cpp,s452
98,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s453,95739921.0,95794953.54545455,29180325185.272778,cpp,s453
99,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s471,171752136.0,171915387.9090909,1040702239475.4918,cpp,s471
100,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s481,66675592.0,66714189.27272727,32993866281.01806,cpp,s481
101,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s482,73793641.0,73860090.72727273,154748958205.8181,cpp,s482
102,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s491,546115193.0,546334450.4545455,292172061715.2706,cpp,s491
103,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s000,98378000.0,98366545.45454545,55195872727.273766,dace,s000
104,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s111,97110000.0,97747272.72727273,1089037818181.8151,dace,s111
105,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1111,103484000.0,103519100.0,110829655555.55536,dace,s1111
106,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1112,133640000.0,133713636.36363636,23751254545.45468,dace,s1112
107,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1113,96198000.0,96293300.0,87821344444.44427,dace,s1113
108,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1115,13089000.0,13108363.636363637,2160254545.45456,dace,s1115
109,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s112,159932000.0,159853400.0,309644933333.33136,dace,s112
110,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s113,192700500.0,192754300.0,104663566666.66634,dace,s113
111,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s114,2218000.0,2225181.8181818184,223963636.36363584,dace,s114
112,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s115,571000.0,617090.9090909091,11597690909.090908,dace,s115
113,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s116,403077000.0,406262454.54545456,69069967472727.27,dace,s116
114,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1161,368088500.0,368072300.0,324826455555.5508,dace,s1161
115,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118,14296000.0,14294454.545454545,8185672727.272693,dace,s118
116,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119,119205000.0,119181545.45454545,18917072727.27233,dace,s119
117,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s121,149277500.0,149356900.0,471861211111.112,dace,s121
118,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s1213,92420000.0,92399090.9090909,59535090909.090866,dace,s1213
119,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s122,36798000.0,36692545.45454545,65344072727.27268,dace,s122
